age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
												OW	1		SO		731.5	1480.3	1875.6	89.6	175.1	1677.4	173.077	173.058	173.228	0.17																788	1422.8	782.6	1337.9	766.5	1290	738.2	1190.6	659.4	1058	6	807	1486	3344	62.0003	1	so	173.0882
												AA	1		SHOPPING		983.4	1672.2	3531.4	131.5	155.8	475.8	173.886	173.846	173.966	0.12																942.2	1711.5	987.9	1667.9	1018.5	1634.1	1024.3	1611.8	953.4	1548.9	4	991	1593	2926	5.1115	1	shopping	173.9083
												AA	1		HOCKEY		1035.8	1609.4	2901.6	121.9	230.1	750.7	174.906	174.876	174.966	0.09																1024.8	1555.7	1036	1614.2	1021.7	1670.3	994.1	1710.5	950.4	1746.3	5	1035	1586	2892	5.16101	1	hockey	174.8992
												EH	1		NEVER		792.6	1716	2879.3	202.1	215	641.2	178.491	178.448	178.578	0.13																853.9	1752.5	782.3	1706.1	724.4	1634	663.8	1602	632.7	1626	5	873	1754	3052	2.32241	1	never	178.4684
												AO	1		ALBANY		966.4	1345.9	2098.1	112.3	98.3	2277.2	182.627	182.58	182.72	0.14																978.7	1394.1	962.9	1341.3	936.6	1321.5	931.9	1314.4	902	1308	6	951	1325	2766	53.54205	1	Albany	182.6467
												EH	1		SCHENECTADY		918.2	1837.9	2203.8	341.8	277.1	1267.3	184.051	184.028	184.098	0.07																832.1	1814.6	932.1	1841.4	971.9	1862.3	956.4	1850.9	786.3	1506.2	6	970	1883	2648	2.16145	1	(Sche)nectady	184.0609
												EH	1		NEVER		702	1653.4	2614.3	145.8	262.6	458.9	184.524	184.507	184.558	0.051																689.4	1651.3	705	1654.3	723.6	1662.9	730.5	1666.6	730.7	1667.9	5	729	1662	2557	2.32241	1	never	184.5349
												AO	1		ALBANY		963.3	1408.9	3019	135.7	190.4	337.9	185.431	185.408	185.477	0.069																963.2	1407.8	963.7	1408.6	972.8	1403.3	974.3	1399.9	969.1	1393.9	4	954	1384	2923	53.54205	1	Albany	185.4657
												AE	1		BASKETBALL		716.8	2187.3	3118	113.7	241.2	307.4	187.729	187.679	187.829	0.15																645.7	2171.1	725	2179.3	764.1	2082.1	782.2	2038.9	775.3	1889.6	4	611	2101	2976	3.34212	1	basketball	187.6984
												EY	1		GAME		618.7	2745.3	3237.3	62.3	197.2	305.3	188.323	188.228	188.419	0.191																605.4	2619.4	616.7	2227.6	618.7	2745.3	615.9	2744.9	623.5	2707.7	5	599	2594	3068	21.4126	1	game	188.2576
												AA	1		PROCTOR		875.4	1614.4	2344.9	159.9	216.7	759.4	189.266	189.223	189.353	0.13																864.2	1648.5	879.9	1614.6	907.5	1630.9	899.8	1679.5	812.5	1759.4	5	912	1645	2463	5.16184	1	Proctor	189.3008
												EY	1		PLAYOFFS		728	1750.1	3408.7	54.5	135	175.9	190.389	190.377	190.557	0.18																711	1998.2	665.9	2213.3	662.1	2301.6	715.4	2153.1	783.1	1956.8	4	718	1927	3369	21.3218	1	playoffs	190.3847
												AH	1		SOMETHING		789.2	1424.9	2979.2	286.1	300.7	835.8	194.203	194.183	194.243	0.06																749.4	1480.9	794.6	1419.6	827.1	1378.8	802.5	1332.7	737	1287.6	5	852	1368	3009	6.41232	1	something	194.2169
												EH	1		THERE		653.3	2092.7	2744.1	57.7	217.2	412.8	200.376	200.272	200.583	0.311																655.8	2181.5	652.2	2078.8	654.8	1973.2	643.6	1870.4	630	1845.2	5	661	2182	3216	24.6003	1	there	200.3048
												AO	1		FOUR		626.2	913.6	2662.3	115.5	86.2	620.6	205.48	205.447	205.546	0.099																596.7	906.7	630.4	916.8	654.9	980.7	659.9	1087.3	657.1	1192.1	6	597	910	2785	64.6001	1	four	205.4619
												EY	1		DAYS		617.4	2183.4	3285.4	98.6	162.8	303.7	205.652	205.636	205.777	0.141																613.3	2260.4	581.9	2398.4	518.4	2475	475.7	2352	467.9	2156.6	4	614	2214	3199	22.0023	1	days	205.6614
												AO	1		OFF		856.7	1479.5	1819	76.1	186.2	1274.7	205.866	205.826	205.947	0.121																790.2	1452.8	862.7	1478.3	880	1459.5	870.9	1442.3	857.9	1427	6	899	1490	2842	53.321	1	off	205.8802
												EY	1		DAYS		674.3	2282.7	3312.5	124	203.3	369.9	208.339	208.287	208.507	0.22																673.2	2277.2	633.9	2435.1	576	2559.5	556.5	2644.8	501.4	2546.1	4	682	2243	3167	22.0023	1	days	208.3311
												AE	1		AND		673.8	2697.3	3200.8	147.4	324.4	318.4	209.713	209.563	210.013	0.45																668.4	2780.2	670.7	2637.6	660.1	2298.6	778.8	1981.1	749.8	1847.5	5	709	2841	3290	3.44203	1	and	209.666
