age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
												EY	1		NAME		629.8	1937.3	2516.5	202.4	152.9	254.2	96.198	96.163	96.293	0.13																602.1	1916.2	594.9	1963	510.9	2009.2	495.3	2007	478.3	1899.9	5
												OW	1		JONES		653.8	1256.8	2501.8	303.8	174.3	745.7	96.926	96.913	97.073	0.16																658.3	1222.7	775	1383.7	672.2	1502.6	577.6	1328.4	669.2	1039	5
												AY	1		I		538.7	1683.7	2469	51.3	186.3	463	97.208	97.183	97.292	0.109								m								538.1	1673.3	532.1	1690.7	524.1	1722.3	520.9	1752.3	493	1768.4	5
												AH	1		WAS		584.7	1329.6	3099	177.8	200.8	557.1	97.799	97.772	97.853	0.081																614.4	1285.1	582.1	1334.5	565.2	1436.8	541.1	1515.7	501.2	1488.6	4
												AY	1		HIGHSCHOOL		861.2	1515.7	2714.4	87.7	133.9	577.2	100.88	100.891	100.972	0.081								s								800.2	1671.7	737.1	1722.3	654.2	1779	569.8	1805.5	511.4	1796.4	5
												AY	1		I		581.4	1249.2	2479.5	49.4	57.4	226.6	101.16	101.152	101.232	0.08								s								570	1292.9	525.9	1354.5	476.5	1422	451	1435.6	443.9	1406.9	5
												AE	1		GRADUATED		599.2	1803.5	2934.5	87.4	187.3	472.1	101.339	101.312	101.392	0.08																586.2	1771.4	599.6	1807.5	594.9	1842.7	569.5	1870.3	518.1	1897.7	4
												UW	0		GRADUATED		436.9	1319.4	2262	83.7	273.3	424.9	101.445	101.422	101.492	0.07																421.8	1426.9	439.8	1306.1	447.7	1284.3	456.3	1324.3	464.2	1391.2	5
												EY	2		GRADUATED		496.6	1695.7	2356.1	47.4	149.3	145.4	101.506	101.492	101.561	0.069																496.6	1695.7	487.6	1772.6	469.8	1810.9	451.4	1825.5	430.1	1788.4	5
												ER	0		FROM		548.7	1370.1	1887.6	104.6	103.1	740.6	101.799	101.772	101.852	0.08																563.9	1385.2	548	1369.4	550.1	1376.3	572.6	1375.4	574.7	1360	5
