age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
												AA	1		MOM'S		1043.6	1691	3093	265.5	160.6	169.6	102.673	102.626	102.766	0.14																1046.4	1667.6	1041.2	1693.7	1017.2	1715.2	990	1698.5	913.1	1656.6	4
												EH	1		PARENTS		705.3	2250.5	2710.6	126.8	241.9	588	103.053	102.976	103.206	0.23																654.7	2243.3	707.6	2244.8	717.6	2166.1	732.6	2030.6	743.8	1797.6	5
												AH	1		ONE		746.5	1304.6	2693.3	103.9	118.5	518.1	104.54	104.513	104.593	0.08																734.1	1221.6	746.9	1312.4	742.5	1390.4	732	1435.7	726	1479.4	5
												AH	0		WAS		639.8	1344	2517.9	114.5	182.4	742.9	104.683	104.663	104.723	0.06																633.9	1340.2	639.5	1343.8	630.7	1346.8	609	1376.9	584.9	1417.9	6
												AO	1		BORN		690.9	952.3	2586.7	61.4	75.9	226.7	104.953	104.913	105.033	0.12																658.1	926.1	693.4	956.8	716.4	1000.1	724.3	1100.7	719.4	1220.6	6
												AY	1		I		851.5	1978.6	3233.8	198.7	264	497.9	107.973	107.94	108.03	0.09								m								800.5	1900	858.4	1977.5	795.9	1978.6	737.6	1948.2	675.4	1830.9	5
												IY	1		BELIEVE		461.4	2241.8	3406.8	118.1	179.5	297.4	108.193	108.16	108.26	0.1																490.3	2078.2	457.7	2260	436.6	2372.4	428.2	2499.2	452.6	2495.7	4
												EY	1		CAPE		560.7	2657.9	3502.2	209.5	280.8	732.9	108.418	108.39	108.509	0.119																559.3	2652.9	537.7	2668.5	495.1	2687.2	487.4	2527.4	592.8	2403.4	4
												AA	1		COD		943.4	1822.7	2696	110.4	151.2	1217.4	108.699	108.619	108.859	0.24																942.3	1864.4	944.5	1819.6	967.3	1807.7	929.4	1790.9	831.4	1758.2	5
												AY	1		MY		802.7	1990.1	2870.9	251.3	210.5	2171.4	110.262	110.254	110.324	0.07																795.7	2044.6	746.6	2144.8	675.7	2241.7	617.1	2329.4	583.8	2435.3	5
												AE	1		GRANDMOTHER		692.3	2030.4	2684.7	225.5	339.9	603.1	110.477	110.444	110.544	0.1																679.3	1962.1	692.4	2039.3	695.8	2095.8	709.4	2034.8	709.7	1851.2	4
												AH	2		GRANDMOTHER		679.9	1281.5	2612.3	127.3	110.8	859.6	110.664	110.644	110.704	0.06																673.5	1269.8	680.4	1283.3	675.2	1295.3	645.6	1300.5	608.3	1345.3	5
												ER	0		GRANDMOTHER		629.3	1658	2499.2	64.5	119	277.6	110.803	110.773	110.864	0.091																637.9	1677.3	628.3	1653.8	618.8	1596.3	603	1512.3	590.1	1479.2	6
												AO	1		BORN		615.5	1030	2686.5	91.3	180.8	203.1	111.167	111.114	111.274	0.16																614.5	1008.5	615.3	1035.3	635.4	1115.7	659.4	1172.1	697.1	1219.6	5
												IH	1		IN		656.2	2773.4	4089.3	573.6	197.3	571.9	112.763	112.713	112.863	0.15																645.8	2706.6	656.6	2783	667.8	2723.1	677.2	2679.9	684.8	2531.4	3
												AW	1		SOUTH		918.5	1668.6	3045.7	88.5	173.8	311.4	113.174	113.143	113.292	0.149																917.5	1674.1	946.2	1566.3	940.9	1520.5	883.4	1505.9	784.3	1386.6	5
												UW	1		UTICA		505.8	1618.8	2476.6	155.1	170.2	424.4	113.536	113.513	113.583	0.07																501	1676.2	505.3	1613	508.4	1560.3	521.2	1555.3	543.4	1598.9	6
												AH	0		UTICA		712	1547.9	2458.4	180	216.4	1363.7	113.663	113.643	113.703	0.06																775.2	1538.4	705.5	1547.8	657.1	1492.5	659.7	1482.2	684.5	1472.1	6
												AE	1		AND		634.6	2703.4	3399.7	162.5	171.7	564.2	115.853	115.716	116.126	0.41																712.9	2883.7	634.7	2669.5	670.1	1720.6	871.6	1889.8	719.4	1918.8	5
